"Harrow & Wealdstone", "Kenton", "Bakerloo", 3, "5", "0"
"Kenton", "South Kenton", "Bakerloo", 2, "4", "0"
"South Kenton", "North Wembley", "Bakerloo", 2, "4", "0"
"North Wembley", "Wembley Central", "Bakerloo", 2, "4", "0"
"Wembley Central", "Stonebridge Park", "Bakerloo", 3, "4", "0"
"Stonebridge Park", "Harlesden", "Bakerloo", 2, "3", "0"
"Harlesden", "Willesden Junction", "Bakerloo", 2, "3", "0"
"Willesden Junction", "Kensal Green", "Bakerloo", 3, "3", "0"
"Kensal Green", "Queen's Park", "Bakerloo", 3, "2", "0"
"Queen's Park", "Kilburn Park", "Bakerloo", 2, "2", "0"
"Kilburn Park", "Maida Vale", "Bakerloo", 2, "2", "0"
"Maida Vale", "Warwick Avenue", "Bakerloo", 1, "2", "0"
"Warwick Avenue", "Paddington", "Bakerloo", 2, "2", "0"
"Paddington", "Edgware Road", "Bakerloo", 3, "1", "0"
"Edgware Road", "Marylebone", "Bakerloo", 2, "1", "0"
"Marylebone", "Baker Street", "Bakerloo", 1, "1", "0"
"Baker Street", "Regent's Park", "Bakerloo", 2, "1", "0"
"Regent's Park", "Oxford Circus", "Bakerloo", 2, "1", "0"
"Oxford Circus", "Piccadilly Circus", "Bakerloo", 2, "1", "0"
"Piccadilly Circus", "Charing Cross", "Bakerloo", 2, "1", "0"
"Charing Cross", "Embankment", "Bakerloo", 1, "1", "0"
"Embankment", "Waterloo", "Bakerloo", 2, "1", "0"
"Waterloo", "Lambeth North", "Bakerloo", 1, "1", "0"
"Lambeth North", "Elephant & Castle", "Bakerloo", 3, "1", "0"
"West Ruislip", "Ruislip Gardens", "Central", 3, "6", "0"
"Ruislip Gardens", "South Ruislip", "Central", 1, "5", "0"
"South Ruislip", "Northolt", "Central", 3, "5", "0"
"Northolt", "Greenford", "Central", 2, "5", "0"
"Greenford", "Perivale", "Central", 2, "4", "0"
"Perivale", "Hanger Lane", "Central", 2, "4", "0"
"Hanger Lane", "North Acton", "Central", 2, "3", "0"
"Ealing Broadway", "West Acton", "Central", 3, "3", "0"
"West Acton", "North Acton", "Central", 2, "3", "0"
"North Acton", "East Acton", "Central", 2, "2", "3"
"East Acton", "White City", "Central", 3, "2", "0"
"White City", "Shepherd's Bush", "Central", 3, "2", "0"
"Shepherd's Bush", "Holland Park", "Central", 2, "2", "0"
"Holland Park", "Notting Hill Gate", "Central", 2, "2", "0"
"Notting Hill Gate", "Queensway", "Central", 2, "1", "2"
"Queensway", "Lancaster Gate", "Central", 1, "1", "0"
"Lancaster Gate", "Marble Arch", "Central", 3, "1", "0"
"Marble Arch", "Bond Street", "Central", 1, "1", "0"
"Bond Street", "Oxford Circus", "Central", 1, "1", "0"
"Oxford Circus", "Tottenham Court Road", "Central", 2, "1", "0"
"Tottenham Court Road", "Holborn", "Central", 2, "1", "0"
"Holborn", "Chancery Lane", "Central", 1, "1", "0"
"Chancery Lane", "St. Paul's", "Central", 2, "1", "0"
"St. Paul's", "Bank/Monument", "Central", 2, "1", "0"
"Bank/Monument", "Liverpool Street", "Central", 2, "1", "0"
"Liverpool Street", "Bethnal Green", "Central", 3, "1", "0"
"Bethnal Green", "Mile End", "Central", 2, "2", "0"
"Mile End", "Stratford", "Central", 4, "2", "0"
"Stratford", "Leyton", "Central", 2, "3", "0"
"Leyton", "Leytonstone", "Central", 3, "3", "0"
"Leytonstone", "Wanstead", "Central", 2, "3", "4"
"Wanstead", "Redbridge", "Central", 2, "4", "0"
"Redbridge", "Gants Hill", "Central", 2, "4", "0"
"Gants Hill", "Newbury Park", "Central", 3, "5", "6"
"Newbury Park", "Barkingside", "Central", 2, "4", "0"
"Barkingside", "Fairlop", "Central", 2, "5", "0"
"Fairlop", "Hainault", "Central", 2, "5", "0"
"Hainault", "Grange Hill", "Central", 2, "5", "0"
"Grange Hill", "Chigwell", "Central", 2, "5", "0"
"Chigwell", "Roding Valley", "Central", 2, "5", "0"
"Roding Valley", "Woodford", "Central", 3, "5", "0"
"Leytonstone", "Snaresbrook", "Central", 2, "3", "4"
"Snaresbrook", "South Woodford", "Central", 2, "4", "0"
"South Woodford", "Woodford", "Central", 2, "4", "0"
"Woodford", "Buckhurst Hill", "Central", 3, "4", "0"
"Buckhurst Hill", "Loughton", "Central", 2, "5", "0"
"Loughton", "Debden", "Central", 2, "6", "0"
"Debden", "Theydon Bois", "Central", 3, "6", "0"
"Theydon Bois", "Epping", "Central", 2, "6", "0"
"Paddington", "Edgware Road", "Circle", 3, "1", "0"
"Edgware Road", "Baker Street", "Circle", 3, "1", "0"
"Baker Street", "Great Portland Street", "Circle", 3, "1", "0"
"Great Portland Street", "Euston Square", "Circle", 2, "1", "0"
"Euston Square", "King's Cross St. Pancras", "Circle", 2, "1", "0"
"King's Cross St. Pancras", "Farringdon", "Circle", 4, "1", "0"
"Farringdon", "Barbican", "Circle", 1, "1", "0"
"Barbican", "Moorgate", "Circle", 2, "1", "0"
"Moorgate", "Liverpool Street", "Circle", 2, "1", "0"
"Liverpool Street", "Aldgate", "Circle", 2, "1", "0"
"Aldgate", "Tower Hill", "Circle", 4, "1", "0"
"Tower Hill", "Bank/Monument", "Circle", 2, "1", "0"
"Bank/Monument", "Cannon Street", "Circle", 2, "1", "0"
"Cannon Street", "Mansion House", "Circle", 1, "1", "0"
"Mansion House", "Blackfriars", "Circle", 1, "1", "0"
"Blackfriars", "Temple", "Circle", 1, "1", "0"
"Temple", "Embankment", "Circle", 2, "1", "0"
"Embankment", "Westminster", "Circle", 2, "1", "0"
"Westminster", "St. James' Park", "Circle", 2, "1", "0"
"St. James' Park", "Victoria", "Circle", 2, "1", "0"
"Victoria", "Sloane Square", "Circle", 2, "1", "0"
"Sloane Square", "South Kensington", "Circle", 2, "1", "0"
"South Kensington", "Gloucester Road", "Circle", 1, "1", "0"
"Gloucester Road", "High Street Kensington", "Circle", 4, "1", "0"
"High Street Kensington", "Notting Hill Gate", "Circle", 3, "1", "0"
"Notting Hill Gate", "Bayswater", "Circle", 2, "1", "2"
"Bayswater", "Paddington", "Circle", 2, "1", "0"
"Ealing Broadway", "Ealing Common", "District", 4, "3", "0"
"Ealing Common", "Acton Town", "District", 2, "3", "0"
"Acton Town", "Chiswick Park", "District", 2, "3", "0"
"Chiswick Park", "Turnham Green", "District", 2, "3", "0"
"Wimbledon", "Wimbledon Park", "District", 3, "3", "0"
"Wimbledon Park", "Southfields", "District", 3, "3", "0"
"Southfields", "East Putney", "District", 2, "3", "0"
"East Putney", "Putney Bridge", "District", 2, "2", "3"
"Putney Bridge", "Parsons Green", "District", 3, "2", "0"
"Parsons Green", "Fulham Broadway", "District", 2, "2", "0"
"Fulham Broadway", "West Brompton", "District", 1, "2", "0"
"West Brompton", "Earls' Court", "District", 2, "2", "0"
"Olympia", "Earls' Court", "District", 3, "2", "0"
"Edgware Road", "Paddington", "District", 3, "1", "0"
"Paddington", "Bayswater", "District", 2, "1", "0"
"Bayswater", "Notting Hill Gate", "District", 3, "1", "0"
"Notting Hill Gate", "High Street Kensington", "District", 3, "1", "2"
"High Street Kensington", "Earls' Court", "District", 3, "1", "0"
"Richmond", "Kew Gardens", "District", 3, "4", "0"
"Kew Gardens", "Gunnersbury", "District", 3, "3", "4"
"Gunnersbury", "Turnham Green", "District", 3, "3", "0"
"Turnham Green", "Stamford Brook", "District", 1, "2", "3"
"Stamford Brook", "Ravenscourt Park", "District", 2, "2", "0"
"Ravenscourt Park", "Hammersmith", "District", 2, "2", "0"
"Hammersmith", "Barons Court", "District", 1, "2", "0"
"Hammersmith", "Barons Court", "District", 1, "2", "0"
"Barons Court", "West Kensington", "District", 2, "2", "0"
"West Kensington", "Earls' Court", "District", 2, "2", "0"
"Earls' Court", "Gloucester Road", "District", 3, "1", "2"
"Gloucester Road", "South Kensington", "District", 1, "1", "0"
"South Kensington", "Sloane Square", "District", 2, "1", "0"
"Sloane Square", "Victoria", "District", 2, "1", "0"
"Victoria", "St. James' Park", "District", 2, "1", "0"
"St. James' Park", "Westminster", "District", 2, "1", "0"
"Westminster", "Embankment", "District", 2, "1", "0"
"Embankment", "Temple", "District", 2, "1", "0"
"Temple", "Blackfriars", "District", 2, "1", "0"
"Blackfriars", "Mansion House", "District", 1, "1", "0"
"Mansion House", "Cannon Street", "District", 1, "1", "0"
"Cannon Street", "Bank/Monument", "District", 2, "1", "0"
"Bank/Monument", "Tower Hill", "District", 2, "1", "0"
"Tower Hill", "Aldgate East", "District", 2, "1", "0"
"Aldgate East", "Whitechapel", "District", 2, "1", "0"
"Whitechapel", "Stepney Green", "District", 3, "2", "0"
"Stepney Green", "Mile End", "District", 2, "2", "0"
"Mile End", "Bow Road", "District", 1, "2", "0"
"Bow Road", "Bromley-by-Bow", "District", 2, "2", "0"
"Bromley-by-Bow", "West Ham", "District", 2, "2", "3"
"West Ham", "Plaistow", "District", 2, "3", "0"
"Plaistow", "Upton Park", "District", 2, "3", "0"
"Upton Park", "East Ham", "District", 2, "3", "0"
"East Ham", "Barking", "District", 4, "3", "4"
"Barking", "Upney", "District", 2, "4", "0"
"Upney", "Becontree", "District", 2, "4", "0"
"Becontree", "Dagenham Heathway", "District", 3, "5", "0"
"Dagenham Heathway", "Dagenham East", "District", 4, "5", "0"
"Dagenham East", "Elm Park", "District", 3, "5", "0"
"Elm Park", "Hornchurch", "District", 2, "6", "0"
"Hornchurch", "Upminster Bridge", "District", 2, "6", "0"
"Upminster Bridge", "Upminster", "District", 3, "6", "0"
"Shoreditch", "Whitechapel", "East London", 2, "2", "0"
"Whitechapel", "Shadwell", "East London", 2, "2", "0"
"Shadwell", "Wapping", "East London", 1, "2", "0"
"Wapping", "Rotherhithe", "East London", 1, "2", "0"
"Rotherhithe", "Canada Water", "East London", 1, "2", "0"
"Canada Water", "Surrey Quays", "East London", 2, "2", "0"
"Surrey Quays", "New Cross Gate", "East London", 4, "2", "0"
"Surrey Quays", "New Cross", "East London", 4, "2", "0"
"Hammersmith", "Goldhawk Road", "Hammersmith & City", 2, "2", "0"
"Hammersmith", "Goldhawk Road", "Hammersmith & City", 2, "2", "0"
"Goldhawk Road", "Shepherd's Bush", "Hammersmith & City", 1, "2", "0"
"Shepherd's Bush", "Latimer Road", "Hammersmith & City", 2, "2", "0"
"Latimer Road", "Ladbroke Grove", "Hammersmith & City", 1, "2", "0"
"Ladbroke Grove", "Westbourne Park", "Hammersmith & City", 2, "2", "0"
"Westbourne Park", "Royal Oak", "Hammersmith & City", 2, "2", "0"
"Royal Oak", "Paddington", "Hammersmith & City", 1, "2", "0"
"Paddington", "Edgware Road", "Hammersmith & City", 4, "1", "0"
"Edgware Road", "Baker Street", "Hammersmith & City", 3, "1", "0"
"Baker Street", "Great Portland Street", "Hammersmith & City", 3, "1", "0"
"Great Portland Street", "Euston Square", "Hammersmith & City", 2, "1", "0"
"Euston Square", "King's Cross St. Pancras", "Hammersmith & City", 2, "1", "0"
"King's Cross St. Pancras", "Farringdon", "Hammersmith & City", 4, "1", "0"
"Farringdon", "Barbican", "Hammersmith & City", 1, "1", "0"
"Barbican", "Moorgate", "Hammersmith & City", 2, "1", "0"
"Moorgate", "Liverpool Street", "Hammersmith & City", 2, "1", "0"
"Liverpool Street", "Aldgate East", "Hammersmith & City", 4, "1", "0"
"Aldgate East", "Whitechapel", "Hammersmith & City", 2, "1", "0"
"Whitechapel", "Stepney Green", "Hammersmith & City", 3, "2", "0"
"Stepney Green", "Mile End", "Hammersmith & City", 2, "2", "0"
"Mile End", "Bow Road", "Hammersmith & City", 1, "2", "0"
"Bow Road", "Bromley-by-Bow", "Hammersmith & City", 2, "2", "0"
"Bromley-by-Bow", "West Ham", "Hammersmith & City", 2, "2", "3"
"West Ham", "Plaistow", "Hammersmith & City", 2, "3", "0"
"Plaistow", "Upton Park", "Hammersmith & City", 2, "3", "0"
"Upton Park", "East Ham", "Hammersmith & City", 2, "3", "0"
"East Ham", "Barking", "Hammersmith & City", 4, "3", "4"
"Stanmore", "Canons Park", "Jubilee", 2, "5", "0"
"Canons Park", "Queensbury", "Jubilee", 2, "5", "0"
"Queensbury", "Kingsbury", "Jubilee", 2, "4", "0"
"Kingsbury", "Wembley Park", "Jubilee", 4, "4", "0"
"Wembley Park", "Neasden", "Jubilee", 4, "4", "0"
"Neasden", "Dollis Hill", "Jubilee", 2, "3", "0"
"Dollis Hill", "Willesden Green", "Jubilee", 2, "3", "0"
"Willesden Green", "Kilburn", "Jubilee", 2, "2", "3"
"Kilburn", "West Hampstead", "Jubilee", 2, "2", "0"
"West Hampstead", "Finchley Road", "Jubilee", 1, "2", "0"
"Finchley Road", "Swiss Cottage", "Jubilee", 2, "2", "0"
"Swiss Cottage", "St. John's Wood", "Jubilee", 1, "2", "0"
"St. John's Wood", "Baker Street", "Jubilee", 4, "2", "0"
"Baker Street", "Bond Street", "Jubilee", 2, "1", "0"
"Bond Street", "Green Park", "Jubilee", 2, "1", "0"
"Green Park", "Westminster", "Jubilee", 3, "1", "0"
"Westminster", "Waterloo", "Jubilee", 2, "1", "0"
"Waterloo", "Southwark", "Jubilee", 1, "1", "0"
"Southwark", "London Bridge", "Jubilee", 2, "1", "0"
"London Bridge", "Bermondsey", "Jubilee", 3, "1", "0"
"Bermondsey", "Canada Water", "Jubilee", 2, "2", "0"
"Canada Water", "Canary Wharf", "Jubilee", 3, "2", "0"
"Canary Wharf", "North Greenwich", "Jubilee", 3, "2", "0"
"North Greenwich", "Canning Town", "Jubilee", 3, "2", "3"
"Canning Town", "West Ham", "Jubilee", 3, "3", "0"
"West Ham", "Stratford", "Jubilee", 3, "3", "0"
"Aldgate", "Liverpool Street", "Metropolitan", 2, "1", "0"
"Liverpool Street", "Moorgate", "Metropolitan", 2, "1", "0"
"Moorgate", "Barbican", "Metropolitan", 2, "1", "0"
"Barbican", "Farringdon", "Metropolitan", 1, "1", "0"
"Farringdon", "King's Cross St. Pancras", "Metropolitan", 4, "1", "0"
"King's Cross St. Pancras", "Euston Square", "Metropolitan", 2, "1", "0"
"Euston Square", "Great Portland Street", "Metropolitan", 2, "1", "0"
"Great Portland Street", "Baker Street", "Metropolitan", 3, "1", "0"
"Baker Street", "Finchley Road", "Metropolitan", 6, "1", "0"
"Finchley Road", "Wembley Park", "Metropolitan", 7, "2", "0"
"Wembley Park", "Preston Road", "Metropolitan", 3, "4", "0"
"Preston Road", "Northwick Park", "Metropolitan", 2, "4", "0"
"Northwick Park", "Harrow-on-the-Hill", "Metropolitan", 2, "4", "0"
"Harrow-on-the-Hill", "North Harrow", "Metropolitan", 3, "5", "0"
"North Harrow", "Pinner", "Metropolitan", 3, "5", "0"
"Pinner", "Northwood Hills", "Metropolitan", 2, "5", "0"
"Northwood Hills", "Northwood", "Metropolitan", 2, "6", "0"
"Northwood", "Moor Park", "Metropolitan", 3, "6", "0"
"Harrow-on-the-Hill", "West Harrow", "Metropolitan", 2, "5", "0"
"West Harrow", "Rayners Lane", "Metropolitan", 3, "5", "0"
"Rayners Lane", "Eastcote", "Metropolitan", 2, "5", "0"
"Eastcote", "Ruislip Manor", "Metropolitan", 2, "5", "0"
"Ruislip Manor", "Ruislip", "Metropolitan", 2, "6", "0"
"Ruislip", "Ickenham", "Metropolitan", 3, "6", "0"
"Ickenham", "Hillingdon", "Metropolitan", 2, "6", "0"
"Hillingdon", "Uxbridge", "Metropolitan", 3, "6", "0"
"Moor Park", "Croxley", "Metropolitan", 4, "6", "a"
"Croxley", "Watford", "Metropolitan", 3, "a", "0"
"Moor Park", "Rickmansworth", "Metropolitan", 4, "6", "a"
"Rickmansworth", "Chorleywood", "Metropolitan", 4, "a", "0"
"Chorleywood", "Chalfont & Latimer", "Metropolitan", 4, "b", "0"
"Chalfont & Latimer", "Chesham", "Metropolitan", 8, "c", "0"
"Chesham", "Amersham", "Metropolitan", 4, "d", "0"
"Mill Hill East", "Finchley Central", "Northern", 3, "4", "0"
"High Barnet", "Totteridge & Whetstone", "Northern", 3, "5", "0"
"Totteridge & Whetstone", "Woodside Park", "Northern", 3, "4", "0"
"Woodside Park", "West Finchley", "Northern", 1, "4", "0"
"West Finchley", "Finchley Central", "Northern", 2, "4", "0"
"Finchley Central", "East Finchley", "Northern", 4, "4", "0"
"East Finchley", "Highgate", "Northern", 2, "3", "0"
"Highgate", "Archway", "Northern", 3, "3", "0"
"Archway", "Tufnell Park", "Northern", 2, "2", "3"
"Tufnell Park", "Kentish Town", "Northern", 2, "2", "0"
"Kentish Town", "Camden Town", "Northern", 2, "2", "0"
"Edgware", "Burnt Oak", "Northern", 3, "5", "0"
"Burnt Oak", "Colindale", "Northern", 2, "4", "0"
"Colindale", "Hendon Central", "Northern", 3, "4", "0"
"Hendon Central", "Brent Cross", "Northern", 2, "3", "4"
"Brent Cross", "Golders Green", "Northern", 3, "3", "0"
"Golders Green", "Hampstead", "Northern", 4, "3", "0"
"Hampstead", "Belsize Park", "Northern", 2, "2", "3"
"Belsize Park", "Chalk Farm", "Northern", 2, "2", "0"
"Chalk Farm", "Camden Town", "Northern", 2, "2", "0"
"Camden Town", "Mornington Crescent", "Northern", 1, "2", "0"
"Mornington Crescent", "Euston", "Northern", 2, "2", "0"
"Euston", "Warren Street", "Northern", 1, "1", "0"
"Warren Street", "Goodge Street", "Northern", 2, "1", "0"
"Goodge Street", "Tottenham Court Road", "Northern", 1, "1", "0"
"Tottenham Court Road", "Leicester Square", "Northern", 1, "1", "0"
"Leicester Square", "Charing Cross", "Northern", 2, "1", "0"
"Charing Cross", "Embankment", "Northern", 1, "1", "0"
"Embankment", "Waterloo", "Northern", 2, "1", "0"
"Waterloo", "Kennington", "Northern", 3, "1", "0"
"Euston", "King's Cross St. Pancras", "Northern", 2, "1", "0"
"King's Cross St. Pancras", "Angel", "Northern", 2, "1", "0"
"Angel", "Old Street", "Northern", 3, "1", "0"
"Old Street", "Moorgate", "Northern", 1, "1", "0"
"Moorgate", "Bank/Monument", "Northern", 3, "1", "0"
"Bank/Monument", "London Bridge", "Northern", 2, "1", "0"
"London Bridge", "Borough", "Northern", 2, "1", "0"
"Borough", "Elephant & Castle", "Northern", 1, "1", "0"
"Elephant & Castle", "Kennington", "Northern", 2, "1", "2"
"Kennington", "Oval", "Northern", 2, "2", "0"
"Oval", "Stockwell", "Northern", 3, "2", "0"
"Stockwell", "Clapham North", "Northern", 1, "2", "0"
"Clapham North", "Clapham Common", "Northern", 2, "2", "0"
"Clapham Common", "Clapham South", "Northern", 2, "2", "0"
"Clapham South", "Balham", "Northern", 2, "2", "3"
"Balham", "Tooting Bec", "Northern", 1, "3", "0"
"Tooting Bec", "Tooting Broadway", "Northern", 2, "3", "0"
"Tooting Broadway", "Colliers Wood", "Northern", 2, "3", "0"
"Colliers Wood", "South Wimbledon", "Northern", 2, "3", "0"
"South Wimbledon", "Morden", "Northern", 4, "3", "4"
"Cockfosters", "Oakwood", "Piccadilly", 4, "5", "0"
"Oakwood", "Southgate", "Piccadilly", 3, "5", "0"
"Southgate", "Arnos Grove", "Piccadilly", 3, "4", "0"
"Arnos Grove", "Bounds Green", "Piccadilly", 3, "4", "0"
"Bounds Green", "Wood Green", "Piccadilly", 2, "3", "4"
"Wood Green", "Turnpike Lane", "Piccadilly", 2, "3", "0"
"Turnpike Lane", "Manor House", "Piccadilly", 3, "3", "0"
"Manor House", "Finsbury Park", "Piccadilly", 2, "2", "3"
"Finsbury Park", "Arsenal", "Piccadilly", 2, "2", "0"
"Arsenal", "Holloway Road", "Piccadilly", 1, "2", "0"
"Holloway Road", "Caledonian Road", "Piccadilly", 2, "2", "0"
"Caledonian Road", "King's Cross St. Pancras", "Piccadilly", 5, "2", "0"
"King's Cross St. Pancras", "Russell Square", "Piccadilly", 2, "1", "0"
"Russell Square", "Holborn", "Piccadilly", 2, "1", "0"
"Holborn", "Covent Garden", "Piccadilly", 1, "1", "0"
"Covent Garden", "Leicester Square", "Piccadilly", 1, "1", "0"
"Leicester Square", "Piccadilly Circus", "Piccadilly", 2, "1", "0"
"Piccadilly Circus", "Green Park", "Piccadilly", 1, "1", "0"
"Green Park", "Hyde Park Corner", "Piccadilly", 2, "1", "0"
"Hyde Park Corner", "Knightsbridge", "Piccadilly", 2, "1", "0"
"Knightsbridge", "South Kensington", "Piccadilly", 3, "1", "0"
"South Kensington", "Gloucester Road", "Piccadilly", 1, "1", "0"
"Gloucester Road", "Earls' Court", "Piccadilly", 2, "1", "0"
"Earls' Court", "Barons Court", "Piccadilly", 3, "1", "2"
"Barons Court", "Hammersmith", "Piccadilly", 2, "2", "0"
"Hammersmith", "Turnham Green", "Piccadilly", 3, "2", "0"
"Hammersmith", "Turnham Green", "Piccadilly", 3, "2", "0"
"Turnham Green", "Acton Town", "Piccadilly", 3, "2", "3"
"Acton Town", "South Ealing", "Piccadilly", 4, "3", "0"
"South Ealing", "Northfields", "Piccadilly", 1, "3", "0"
"Northfields", "Boston Manor", "Piccadilly", 2, "3", "0"
"Boston Manor", "Osterley", "Piccadilly", 3, "4", "0"
"Osterley", "Hounslow East", "Piccadilly", 2, "4", "0"
"Hounslow East", "Hounslow Central", "Piccadilly", 2, "4", "0"
"Hounslow Central", "Hounslow West", "Piccadilly", 2, "4", "0"
"Hounslow West", "Hatton Cross", "Piccadilly", 4, "5", "0"
"Hatton Cross", "Heathrow Terminal 3", "Piccadilly", 3, "5", "6"
"Heathrow Terminal 4", "Heathrow Terminals 1,2,3", "Piccadilly", 5, "6", "0"
"Heathrow Terminals 1,2,3", "Hatton Cross", "Piccadilly", 3, "6", "0"
"Acton Town", "Ealing Common", "Piccadilly", 2, "3", "0"
"Ealing Common", "North Ealing", "Piccadilly", 3, "3", "0"
"North Ealing", "Park Royal", "Piccadilly", 2, "3", "0"
"Park Royal", "Alperton", "Piccadilly", 3, "3", "0"
"Alperton", "Sudbury Town", "Piccadilly", 2, "4", "0"
"Sudbury Town", "Sudbury Hill", "Piccadilly", 3, "4", "0"
"Sudbury Hill", "South Harrow", "Piccadilly", 2, "4", "0"
"South Harrow", "Rayners Lane", "Piccadilly", 3, "5", "0"
"Rayners Lane", "Eastcote", "Piccadilly", 2, "5", "0"
"Eastcote", "Ruislip Manor", "Piccadilly", 2, "5", "0"
"Ruislip Manor", "Ruislip", "Piccadilly", 2, "6", "0"
"Ruislip", "Ickenham", "Piccadilly", 3, "6", "0"
"Ickenham", "Hillingdon", "Piccadilly", 2, "6", "0"
"Hillingdon", "Uxbridge", "Piccadilly", 3, "6", "0"
"Walthamstow Central", "Blackhorse Road", "Victoria", 2, "3", "0"
"Blackhorse Road", "Tottenham Hale", "Victoria", 2, "3", "0"
"Tottenham Hale", "Seven Sisters", "Victoria", 3, "3", "0"
"Seven Sisters", "Finsbury Park", "Victoria", 4, "3", "0"
"Finsbury Park", "Highbury & Islington", "Victoria", 2, "2", "0"
"Highbury & Islington", "King's Cross St. Pancras", "Victoria", 4, "2", "0"
"King's Cross St. Pancras", "Euston", "Victoria", 2, "1", "0"
"Euston", "Warren Street", "Victoria", 1, "1", "0"
"Warren Street", "Oxford Circus", "Victoria", 2, "1", "0"
"Oxford Circus", "Green Park", "Victoria", 2, "1", "0"
"Green Park", "Victoria", "Victoria", 2, "1", "0"
"Victoria", "Pimlico", "Victoria", 3, "1", "0"
"Pimlico", "Vauxhall", "Victoria", 1, "1", "0"
"Vauxhall", "Stockwell", "Victoria", 3, "1", "2"
"Stockwell", "Brixton", "Victoria", 2, "2", "0"
"Bank/Monument", "Waterloo", "Waterloo & City", 4, "1", "0"